scenario,nu,trial,method,regime_nmi,regime_ari,regime_acc,dag_f1,dag_shd
Hetero-Gaussian,inf,0,TRACED,0.6992440149875354,0.5384957184302896,0.643,0.0,21.666666666666668
Hetero-Gaussian,inf,0,Gaussian,0.9938029489046497,0.9970015045323003,0.999,0.04301075268817204,21.333333333333332
Hetero-Gaussian,inf,1,TRACED,0.6451744126813433,0.4514949842083127,0.543,0.06666666666666668,11.666666666666666
Hetero-Gaussian,inf,1,Gaussian,0.6416765964895983,0.44292369410424076,0.504,0.06666666666666668,14.333333333333334
Hetero-Gaussian,inf,2,TRACED,0.6479631954651645,0.44470094977374597,0.513,0.06734006734006734,20.333333333333332
Hetero-Gaussian,inf,2,Gaussian,0.6476314839110203,0.44390264497127896,0.501,0.055944055944055944,25.0
Hetero-Gaussian,inf,3,TRACED,0.6373770099187559,0.44267323407841297,0.514,0.10350877192982455,25.666666666666668
Hetero-Gaussian,inf,3,Gaussian,0.638061582262448,0.45362970241383055,0.553,0.10939112487100104,22.0
Hetero-Gaussian,inf,4,TRACED,0.6480166003783882,0.44482921521777036,0.514,0.06878306878306878,20.333333333333332
Hetero-Gaussian,inf,4,Gaussian,1.0,1.0,1.0,0.10666666666666669,18.0
Hetero-t(ν=10),10,0,TRACED,0.6533136734819688,0.4571986771406921,0.553,0.05730994152046783,23.333333333333332
Hetero-t(ν=10),10,0,Gaussian,0.6497978442803576,0.4490662496731079,0.533,0.06818181818181819,25.0
Hetero-t(ν=10),10,1,TRACED,0.6489704152403037,0.4471079407905939,0.526,0.13903743315508021,14.333333333333334
Hetero-t(ν=10),10,1,Gaussian,0.6011694706761689,0.437510039281351,0.547,0.03703703703703704,16.333333333333332
Hetero-t(ν=10),10,2,TRACED,0.6530957118616763,0.4567032921543011,0.552,0.041666666666666664,18.666666666666668
Hetero-t(ν=10),10,2,Gaussian,0.6478268348377642,0.4443731181113273,0.51,0.041666666666666664,21.333333333333332
Hetero-t(ν=10),10,3,TRACED,0.6477261558844236,0.44413076876054747,0.507,0.06143790849673203,20.666666666666668
Hetero-t(ν=10),10,3,Gaussian,0.626041374516224,0.4392847947544564,0.512,0.07326007326007326,19.666666666666668
Hetero-t(ν=10),10,4,TRACED,0.6432407238998239,0.44760992368268493,0.537,0.05565217391304348,19.666666666666668
Hetero-t(ν=10),10,4,Gaussian,0.6191195511003879,0.43624183443457487,0.512,0.06363636363636364,17.333333333333332
Hetero-t(ν=5),5,0,TRACED,0.6940659848832419,0.5528097212200608,0.664,0.022222222222222223,22.0
Hetero-t(ν=5),5,0,Gaussian,0.6426993429392347,0.4455204918759008,0.524,0.07675438596491228,22.666666666666668
Hetero-t(ν=5),5,1,TRACED,0.6478268348377642,0.4443731181113273,0.51,0.12121212121212122,12.666666666666666
Hetero-t(ν=5),5,1,Gaussian,0.48384655562705287,0.3755663079532659,0.575,0.16541353383458648,12.666666666666666
Hetero-t(ν=5),5,2,TRACED,0.6539953351081904,0.45874055748836723,0.556,0.05555555555555555,18.333333333333332
Hetero-t(ν=5),5,2,Gaussian,0.9938029489046497,0.9970015045323003,0.999,0.07474747474747474,21.0
Hetero-t(ν=5),5,3,TRACED,0.6500717026877613,0.44971064252328335,0.535,0.13879142300194933,17.333333333333332
Hetero-t(ν=5),5,3,Gaussian,0.6118300545417589,0.4519055616005348,0.573,0.057971014492753624,21.666666666666668
Hetero-t(ν=5),5,4,TRACED,0.6600042231697979,0.47185552778095025,0.577,0.07212475633528265,15.333333333333334
Hetero-t(ν=5),5,4,Gaussian,0.5631050074892668,0.4159910139065704,0.563,0.027777777777777776,17.0
Hetero-t(ν=3),3,0,TRACED,0.6770194385377849,0.504608464872919,0.614,0.04938271604938271,21.666666666666668
Hetero-t(ν=3),3,0,Gaussian,0.8807139480899676,0.9134834865069198,0.97,0.09206349206349207,21.666666666666668
Hetero-t(ν=3),3,1,TRACED,0.6593331999826705,0.470432777109861,0.575,0.0,18.0
Hetero-t(ν=3),3,1,Gaussian,0.5239783684954937,0.47224019946727797,0.657,0.06666666666666668,13.333333333333334
Hetero-t(ν=3),3,2,TRACED,0.6434471583477266,0.44695179840361116,0.53,0.05333333333333334,25.666666666666668
Hetero-t(ν=3),3,2,Gaussian,0.8202161785402946,0.8633496463160424,0.952,0.023809523809523808,20.666666666666668
Hetero-t(ν=3),3,3,TRACED,0.6509950284493826,0.4518695423842935,0.541,0.041666666666666664,23.0
Hetero-t(ν=3),3,3,Gaussian,0.5036331898847565,0.43877409565806524,0.636,0.1598896907821393,21.0
Hetero-t(ν=3),3,4,TRACED,0.6515148281858835,0.4530756737642317,0.544,0.10192147034252297,15.333333333333334
Hetero-t(ν=3),3,4,Gaussian,0.785050235925286,0.8278976529979004,0.938,0.031746031746031744,16.666666666666668
